@relation esmeraldastestecluster-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute 'f1: arith mean (S channel)' numeric
@attribute 'f2: std deviation (S channel)' numeric
@attribute 'f3: arith mean (V channel)' numeric
@attribute 'f4: std deviation (V channel)' numeric
@attribute 'f5: hist comp (ref category 0, channel S)' numeric
@attribute 'f6: hist comp (ref category 1, channel S)' numeric
@attribute 'f7: hist comp (ref category 2, channel S)' numeric
@attribute 'f8: hist comp (ref category 3, channel S)' numeric
@attribute 'f9: hist comp (ref category 4, channel S)' numeric
@attribute 'f10: hist comp (ref category 5, channel S)' numeric
@attribute 'f11: hist comp (ref category 6, channel S)' numeric
@attribute 'f12: hist comp (ref category 7, channel S)' numeric
@attribute 'f13: hist comp (ref category 0, channel V)' numeric
@attribute 'f14: hist comp (ref category 1, channel V)' numeric
@attribute 'f15: hist comp (ref category 2, channel V)' numeric
@attribute 'f16: hist comp (ref category 3, channel V)' numeric
@attribute 'f17: hist comp (ref category 4, channel V)' numeric
@attribute 'f18: hist comp (ref category 5, channel V)' numeric
@attribute 'f19: hist comp (ref category 6, channel V)' numeric
@attribute 'f20: hist comp (ref category 7, channel V)' numeric
@attribute 'f21: GLCM homogeneity (distance 1, angle 0)' numeric
@attribute 'f22: GLCM homogeneity (distance 1 angle 90)' numeric
@attribute 'f23: GLCM entropy (distance 1, angle 0)' numeric
@attribute 'f24: GLCM entropy (distance 1, angle 90)' numeric
@attribute classe {0,1,2,3,4,5,6,7}

@data
0.87343,0.025276,0.125735,0.03978,0.823002,0.145216,0.787353,0.891303,0.960679,0.92572,0.786895,0.923087,0.560695,0.198614,0.158836,0.293896,0.90802,0.687037,0.553354,0.94956,0.715672,0.627265,0.69027,0.639127,2
0.825028,0.017707,0.257846,0.031116,0.326753,0.909532,0.790452,0.127071,0.86282,0.566868,0.960508,0.747817,0.357278,0.258029,0.348582,0.14936,0.882094,0.49282,0.35652,0.980095,0.566639,0.776552,0.587323,0.765524,1
0.63945,0.014231,0.297131,0.025426,0.229129,0.851406,0.792983,0.420182,0.561484,0.285853,0.937381,0.38016,0.347283,0.685625,0.768517,0.656407,0.367735,0.347267,0.516449,0.866904,0.375329,0.966173,0.36157,0.968192,0
0.854933,0.020615,0.257465,0.031568,0.305425,0.897796,0.794582,0.179306,0.822011,0.566313,0.946984,0.710431,0.451948,0.18604,0.232489,0.118638,0.911642,0.581215,0.452476,0.968939,0.577412,0.771885,0.588701,0.766487,1
0.859543,0.022578,0.111947,0.03543,0.862175,0.316165,0.795589,0.921814,0.995523,0.961972,0.637147,0.959526,0.486235,0.19168,0.234587,0.21148,0.910424,0.614442,0.462372,0.976461,0.697154,0.650543,0.663148,0.669517,2
0.788888,0.016109,0.290335,0.023251,0.14643,0.885878,0.798199,0.263168,0.665259,0.287211,0.945959,0.523434,0.223045,0.34531,0.494125,0.255158,0.809194,0.340878,0.257088,0.955701,0.409538,0.951632,0.398437,0.958265,7
0.847893,0.019255,0.261032,0.028661,0.278411,0.921557,0.799961,0.124115,0.812057,0.521708,0.965153,0.689841,0.417847,0.234645,0.270477,0.125873,0.888688,0.54912,0.428345,0.978712,0.603249,0.774495,0.609389,0.769441,1
0.677647,0.016677,0.301838,0.022389,0.20382,0.852139,0.804369,0.405969,0.53296,0.262894,0.934765,0.366953,0.305201,0.653628,0.742039,0.614565,0.507869,0.23616,0.454099,0.927484,0.34511,1.0213,0.33123,1.02462,0
0.617533,0.01235,0.312033,0.022429,0.275598,0.862527,0.808489,0.471655,0.445126,0.324922,0.931395,0.274637,0.370503,0.664519,0.746914,0.641178,0.352452,0.403238,0.532144,0.803833,0.387525,1.00158,0.347379,1.01937,0
0.826562,0.017308,0.264635,0.028971,0.267823,0.908466,0.808677,0.108534,0.820419,0.488338,0.961379,0.695337,0.346639,0.227722,0.324603,0.140187,0.858038,0.475015,0.350198,0.975789,0.574558,0.78117,0.579769,0.780393,1
0.636994,0.014997,0.283256,0.025804,0.180591,0.896801,0.811525,0.239639,0.710066,0.295932,0.948258,0.554873,0.424617,0.758995,0.844598,0.720362,0.436007,0.391919,0.540565,0.822779,0.636179,0.798883,0.600348,0.818156,3
0.868537,0.022573,0.113988,0.038691,0.842332,0.286156,0.812201,0.903676,0.96913,0.933494,0.678684,0.93426,0.522624,0.200804,0.210086,0.249688,0.915544,0.651747,0.506599,0.956347,0.659672,0.655426,0.640131,0.671272,2
0.662266,0.014486,0.299847,0.023108,0.185473,0.881041,0.813081,0.371986,0.561866,0.242703,0.947464,0.39333,0.303399,0.668924,0.764662,0.621437,0.470568,0.308557,0.458525,0.877669,0.397529,0.967896,0.389618,0.972051,0
0.841816,0.020722,0.103406,0.035382,0.84439,0.427944,0.813526,0.904737,0.969583,0.9378,0.489491,0.935193,0.420158,0.203737,0.279711,0.208029,0.854066,0.555512,0.401581,0.937249,0.662681,0.688578,0.647793,0.693798,5
0.830904,0.020219,0.112122,0.03181,0.830933,0.325422,0.813844,0.901842,0.955446,0.923799,0.58777,0.921988,0.380111,0.204243,0.347261,0.186719,0.877151,0.507757,0.344267,0.945427,0.662168,0.708983,0.629565,0.724526,5
0.658514,0.016554,0.270019,0.0288,0.246976,0.915882,0.8152,0.117583,0.788463,0.440604,0.961862,0.649639,0.408967,0.769403,0.859159,0.724354,0.4726,0.341862,0.532305,0.878509,0.640706,0.755741,0.606716,0.773992,3
0.643243,0.011692,0.30643,0.021925,0.224744,0.858011,0.821505,0.41508,0.506206,0.27492,0.92155,0.360505,0.311257,0.632467,0.722008,0.601525,0.41411,0.346925,0.472449,0.813714,0.315951,1.06473,0.303531,1.07037,0
0.843568,0.021484,0.1055,0.036252,0.829248,0.424903,0.822919,0.891226,0.956817,0.918165,0.533426,0.920822,0.42649,0.22951,0.302923,0.193062,0.891523,0.553795,0.393825,0.959224,0.639354,0.696646,0.616322,0.710462,5
0.676945,0.017664,0.25662,0.033467,0.359888,0.898833,0.824296,0.192606,0.87201,0.585717,0.945877,0.759101,0.37012,0.732596,0.835276,0.683725,0.552501,0.272388,0.479468,0.896022,0.712379,0.67799,0.670911,0.698378,3
0.649162,0.013321,0.308524,0.024299,0.251661,0.869672,0.827311,0.448214,0.518549,0.212493,0.93222,0.361811,0.309749,0.642845,0.726479,0.609114,0.397903,0.333479,0.491445,0.873782,0.355115,1.01761,0.365796,1.00953,0
0.692832,0.019358,0.280413,0.02489,0.184158,0.907278,0.83148,0.17144,0.702559,0.37708,0.952175,0.573193,0.356588,0.700372,0.80223,0.640956,0.617947,0.311588,0.443836,0.906554,0.515697,0.874178,0.508577,0.871469,3
0.675614,0.014382,0.305684,0.021593,0.206177,0.882495,0.833834,0.375419,0.515409,0.278089,0.938581,0.361278,0.268095,0.638006,0.736538,0.588177,0.500481,0.269331,0.428351,0.895812,0.356375,1.02163,0.377353,1.01277,0
0.8347,0.019624,0.254011,0.035116,0.431999,0.932889,0.835398,0.229166,0.921175,0.648948,0.969641,0.821443,0.389039,0.207302,0.329901,0.122554,0.891898,0.516869,0.382348,0.960449,0.623485,0.700858,0.619644,0.703375,1
0.620408,0.013202,0.318172,0.023126,0.321717,0.861181,0.835843,0.488596,0.394758,0.391796,0.920083,0.253642,0.368132,0.668812,0.752717,0.64181,0.36839,0.399523,0.524346,0.810791,0.41145,0.982546,0.389954,0.987139,0
0.844204,0.017812,0.269493,0.031808,0.300481,0.910958,0.83648,0.173422,0.833877,0.459798,0.946468,0.715035,0.398646,0.237257,0.306814,0.103614,0.893865,0.528144,0.406557,0.973741,0.557139,0.787175,0.550968,0.789253,1
0.863591,0.019582,0.264774,0.029402,0.289152,0.919476,0.837634,0.134117,0.809303,0.498986,0.9649,0.687697,0.471226,0.283943,0.276419,0.195916,0.911765,0.595177,0.486375,0.980111,0.602229,0.756797,0.633523,0.743582,1
0.81322,0.017685,0.27969,0.02595,0.21269,0.932029,0.839411,0.215823,0.727973,0.333554,0.966325,0.582756,0.313539,0.250935,0.348816,0.198921,0.804407,0.444769,0.346138,0.959591,0.595497,0.78367,0.616806,0.780158,1
0.796153,0.016462,0.283228,0.026416,0.217389,0.920198,0.844178,0.191569,0.700311,0.358326,0.964237,0.572667,0.25692,0.330932,0.47677,0.221463,0.835832,0.386145,0.269804,0.947902,0.58236,0.803272,0.571407,0.809957,7
0.850223,0.023338,0.101368,0.043127,0.868712,0.479241,0.847312,0.92257,0.973858,0.947606,0.573992,0.945226,0.467141,0.223568,0.273979,0.237286,0.884867,0.594856,0.458968,0.938575,0.666894,0.649197,0.653074,0.656589,5
0.797119,0.015935,0.287868,0.026599,0.204866,0.911215,0.850087,0.27613,0.701645,0.254386,0.957815,0.549112,0.277059,0.318324,0.439049,0.251654,0.817139,0.402703,0.301199,0.974241,0.455745,0.898796,0.447785,0.901633,7
0.623229,0.015079,0.313203,0.022881,0.259013,0.90249,0.850671,0.42693,0.483283,0.255548,0.945193,0.33469,0.41003,0.738026,0.811481,0.713455,0.309381,0.382695,0.565196,0.852354,0.381472,0.987282,0.391247,0.980739,0
0.811376,0.017382,0.274103,0.030776,0.289352,0.931987,0.850731,0.208587,0.820923,0.387436,0.96738,0.682399,0.323455,0.299265,0.427702,0.174183,0.880701,0.448392,0.326257,0.976407,0.575195,0.772117,0.569642,0.775291,1
0.83977,0.019765,0.098825,0.031077,0.871658,0.397025,0.852013,0.934369,0.972415,0.951276,0.435866,0.946283,0.406318,0.179422,0.287523,0.183424,0.874573,0.538755,0.373064,0.954716,0.62954,0.717526,0.608711,0.727426,5
0.611033,0.013808,0.315802,0.023886,0.286643,0.880199,0.852062,0.469668,0.451103,0.266341,0.942324,0.297111,0.426293,0.723488,0.7902,0.703523,0.29982,0.431432,0.577372,0.822698,0.365045,1.03179,0.369371,1.02907,0
0.844723,0.021553,0.101996,0.036904,0.880434,0.415759,0.852829,0.938927,0.979489,0.958145,0.538786,0.953823,0.439725,0.215397,0.301751,0.199781,0.897026,0.566124,0.404052,0.945828,0.663956,0.66826,0.639338,0.681722,5
0.812452,0.017413,0.278523,0.028775,0.248876,0.918119,0.853005,0.220892,0.77626,0.333048,0.964379,0.627845,0.334039,0.281411,0.394373,0.214092,0.856111,0.460914,0.335949,0.973009,0.570527,0.792646,0.565361,0.793928,1
0.53691,0.014218,0.329671,0.02286,0.365315,0.902681,0.853945,0.517855,0.338701,0.412065,0.948049,0.247351,0.557557,0.76613,0.835794,0.766221,0.35838,0.578077,0.670928,0.625615,0.364513,1.02776,0.356474,1.03241,0
0.53691,0.014218,0.329671,0.02286,0.365315,0.902681,0.853945,0.517855,0.338701,0.412065,0.948049,0.247351,0.557557,0.76613,0.835794,0.766221,0.35838,0.578077,0.670928,0.625615,0.364513,1.02776,0.356474,1.03241,0
0.565047,0.010193,0.342378,0.023584,0.411869,0.871867,0.856583,0.543448,0.44435,0.455807,0.934953,0.450753,0.4647,0.648098,0.741002,0.651039,0.508338,0.494931,0.560987,0.568716,0.365284,0.988626,0.31286,1.02031,6
0.78931,0.016231,0.277813,0.029022,0.25558,0.911822,0.858303,0.172016,0.763968,0.389074,0.957261,0.641909,0.240118,0.337066,0.487507,0.267398,0.807294,0.362497,0.262288,0.949814,0.470114,0.863156,0.488834,0.854459,7
0.825821,0.020837,0.108599,0.041996,0.871596,0.35965,0.858814,0.929606,0.965909,0.944417,0.65705,0.941239,0.379016,0.263589,0.407389,0.22675,0.867037,0.501116,0.336491,0.94212,0.658924,0.65037,0.664213,0.649725,5
0.822889,0.017983,0.276574,0.030639,0.281873,0.916378,0.860804,0.224332,0.804694,0.365256,0.955351,0.667782,0.341016,0.242183,0.375612,0.141337,0.882579,0.476218,0.338846,0.969655,0.542413,0.799024,0.552223,0.791823,1
0.841349,0.021919,0.105732,0.034632,0.893782,0.339062,0.863152,0.951325,0.991306,0.96963,0.580413,0.966605,0.43346,0.191832,0.307373,0.217538,0.887357,0.562992,0.402271,0.956126,0.716774,0.641711,0.702304,0.651372,5
0.793098,0.015477,0.287241,0.028717,0.24606,0.910674,0.865251,0.262492,0.705747,0.291832,0.963016,0.569613,0.236727,0.32725,0.467125,0.237407,0.812678,0.365509,0.263196,0.965208,0.491997,0.848446,0.500519,0.843907,7
0.80728,0.01621,0.282204,0.028427,0.241633,0.925616,0.866136,0.213409,0.733836,0.331504,0.965861,0.597289,0.297317,0.293497,0.409161,0.198401,0.847112,0.426864,0.301019,0.976737,0.498508,0.843979,0.493996,0.84612,7
0.828774,0.018302,0.271356,0.033971,0.352491,0.933561,0.866541,0.214701,0.85911,0.455561,0.964232,0.734228,0.367603,0.236749,0.347012,0.124853,0.888038,0.501448,0.356894,0.96831,0.617282,0.718473,0.619075,0.721572,1
0.83742,0.018074,0.27125,0.032653,0.33367,0.918802,0.869103,0.23417,0.854686,0.434893,0.952298,0.726792,0.387594,0.241246,0.312218,0.146453,0.874742,0.522285,0.380662,0.957037,0.600622,0.743209,0.600013,0.747226,1
0.814262,0.017406,0.082134,0.036893,0.872491,0.649802,0.872258,0.925182,0.965616,0.942971,0.225029,0.940674,0.3361,0.290629,0.398015,0.24374,0.830791,0.455818,0.26875,0.953451,0.644912,0.68152,0.611827,0.698952,5
0.61417,0.013551,0.312464,0.022876,0.262816,0.906536,0.873838,0.413105,0.487335,0.247186,0.949257,0.347239,0.420531,0.735666,0.812018,0.711591,0.328754,0.414251,0.566117,0.802195,0.383062,0.987418,0.381786,0.985107,0
0.767352,0.016213,0.070275,0.037204,0.879876,0.703929,0.884613,0.92809,0.967057,0.946006,0.136495,0.945122,0.306648,0.396242,0.513481,0.381367,0.741111,0.398307,0.212976,0.924774,0.673728,0.669443,0.63944,0.687761,5
0.548674,0.010436,0.349416,0.023783,0.460336,0.891725,0.885397,0.579091,0.370111,0.486137,0.95358,0.413494,0.501235,0.679926,0.763774,0.682137,0.485565,0.536154,0.592239,0.54967,0.389096,1.00667,0.323034,1.05132,6
0.548674,0.010436,0.349416,0.023783,0.460336,0.891725,0.885397,0.579091,0.370111,0.486137,0.95358,0.413494,0.501235,0.679926,0.763774,0.682137,0.485565,0.536154,0.592239,0.54967,0.389096,1.00667,0.323034,1.05132,6
0.517077,0.014924,0.33403,0.022513,0.376408,0.89593,0.885689,0.53629,0.338177,0.358648,0.949699,0.258996,0.625838,0.807416,0.861857,0.819144,0.337473,0.638925,0.733011,0.598164,0.333848,1.0839,0.335682,1.08191,0
0.517077,0.014924,0.33403,0.022513,0.376408,0.89593,0.885689,0.53629,0.338177,0.358648,0.949699,0.258996,0.625838,0.807416,0.861857,0.819144,0.337473,0.638925,0.733011,0.598164,0.333848,1.0839,0.335682,1.08191,0
0.520368,0.011338,0.340613,0.021729,0.407045,0.905461,0.889012,0.533817,0.36901,0.416362,0.956314,0.362304,0.563643,0.762049,0.83877,0.767527,0.458982,0.561777,0.654761,0.514673,0.378263,0.99595,0.321522,1.03188,6
0.818365,0.01642,0.277723,0.034972,0.354223,0.942861,0.890068,0.260425,0.818249,0.407002,0.970332,0.699802,0.330214,0.314722,0.416342,0.161553,0.875893,0.450447,0.353422,0.976959,0.56849,0.76103,0.572165,0.757351,1
0.831594,0.025297,0.091845,0.047103,0.918554,0.612278,0.891555,0.962855,0.996246,0.976337,0.502818,0.975378,0.433273,0.345503,0.409872,0.310351,0.873026,0.539027,0.403198,0.952901,0.699701,0.590674,0.685088,0.597606,5
0.80742,0.017579,0.27064,0.037104,0.413829,0.937464,0.892162,0.267674,0.885646,0.508608,0.970737,0.776712,0.303726,0.313795,0.450706,0.191742,0.867691,0.423172,0.310699,0.973295,0.622361,0.701776,0.62036,0.701432,1
0.857252,0.02376,0.100074,0.044342,0.91378,0.484636,0.893159,0.962532,0.993327,0.973695,0.604258,0.971881,0.494921,0.242896,0.288232,0.247954,0.921145,0.615685,0.460605,0.975345,0.68147,0.611564,0.663265,0.622589,5
0.695213,0.016429,0.285816,0.037815,0.392136,0.91287,0.893478,0.410213,0.82207,0.290035,0.948074,0.671792,0.268214,0.642671,0.756845,0.58992,0.590405,0.174582,0.399946,0.935081,0.652998,0.699495,0.645681,0.703329,3
0.619999,0.015868,0.312013,0.029845,0.351265,0.926876,0.894482,0.507815,0.516677,0.218768,0.967584,0.30371,0.476396,0.783962,0.861515,0.760355,0.391941,0.455319,0.590405,0.811016,0.644328,0.759861,0.621687,0.773525,3
0.655398,0.019128,0.289818,0.029545,0.276831,0.928714,0.894507,0.32443,0.708474,0.220476,0.95989,0.554157,0.434198,0.766027,0.853407,0.737794,0.482873,0.336266,0.541555,0.876818,0.62975,0.757149,0.602999,0.768967,3
0.731922,0.018453,0.062863,0.039494,0.897933,0.752177,0.895465,0.940674,0.978259,0.959535,0.209718,0.958895,0.30316,0.500985,0.63206,0.483256,0.675384,0.357756,0.24714,0.901971,0.632509,0.664106,0.614229,0.673929,5
0.609935,0.020255,0.31043,0.026464,0.297748,0.909263,0.896662,0.447632,0.534373,0.155585,0.958084,0.378917,0.529688,0.814483,0.873274,0.812627,0.278233,0.467147,0.66565,0.833495,0.529621,0.865204,0.5081,0.865756,0
0.812976,0.02348,0.095582,0.047283,0.915337,0.574562,0.899049,0.960456,0.989295,0.970665,0.537676,0.968523,0.377615,0.354829,0.484733,0.296828,0.871545,0.476535,0.334426,0.946492,0.686553,0.604646,0.662384,0.617391,5
0.854428,0.024038,0.099535,0.04682,0.916643,0.520834,0.9014,0.961034,0.993042,0.972118,0.615002,0.972857,0.489637,0.258419,0.295494,0.258205,0.900707,0.612197,0.460461,0.947383,0.716421,0.57174,0.709071,0.57819,5
0.815913,0.019379,0.278743,0.033385,0.348659,0.925007,0.901828,0.271344,0.799274,0.38379,0.966796,0.673885,0.331728,0.29086,0.444318,0.186968,0.881644,0.449824,0.326076,0.964809,0.565286,0.753001,0.565369,0.752315,1
0.793961,0.020891,0.081445,0.043596,0.918836,0.702759,0.902033,0.961643,0.990697,0.974129,0.308031,0.971206,0.329277,0.407485,0.52284,0.336107,0.827795,0.413834,0.289253,0.959043,0.675094,0.617722,0.671914,0.619539,5
0.680295,0.021153,0.283718,0.03336,0.352173,0.921361,0.906787,0.34242,0.80233,0.300007,0.954221,0.65828,0.445438,0.763081,0.856814,0.718224,0.610779,0.38154,0.513095,0.893983,0.683584,0.711772,0.645828,0.730904,3
0.617764,0.017929,0.310907,0.028441,0.356681,0.92004,0.907138,0.495362,0.539944,0.150501,0.963097,0.365456,0.499494,0.801705,0.870942,0.791661,0.327044,0.432598,0.623353,0.813502,0.636284,0.771814,0.603258,0.777591,3
0.824619,0.021072,0.078165,0.045689,0.913681,0.735579,0.908835,0.954946,0.983474,0.966869,0.297446,0.963969,0.402957,0.340277,0.41423,0.297247,0.862852,0.509025,0.337527,0.957457,0.692161,0.584443,0.68317,0.591328,5
0.833481,0.018757,0.307865,0.024288,0.276632,0.931239,0.909108,0.387556,0.559072,0.195964,0.96745,0.423059,0.363925,0.186689,0.317602,0.144317,0.849579,0.499656,0.375105,0.959623,0.485037,0.878859,0.485768,0.87611,7
0.822668,0.01785,0.279634,0.038338,0.423297,0.943317,0.909281,0.356494,0.865115,0.403801,0.972189,0.743262,0.355315,0.258191,0.373924,0.165608,0.882091,0.485433,0.331818,0.974003,0.63808,0.679648,0.643519,0.677128,1
0.852356,0.025608,0.088934,0.046658,0.923912,0.648736,0.913947,0.965758,0.992296,0.975299,0.452695,0.974254,0.488318,0.313614,0.33438,0.298389,0.895389,0.601604,0.457992,0.968822,0.726683,0.573464,0.70029,0.586967,5
0.701153,0.016578,0.301961,0.031237,0.333018,0.918765,0.918457,0.423425,0.632631,0.160459,0.95306,0.500441,0.265767,0.645454,0.764876,0.583943,0.608565,0.155745,0.388969,0.931968,0.513948,0.83224,0.483326,0.839971,3
0.769537,0.019776,0.069654,0.039648,0.915129,0.744203,0.91869,0.95758,0.978928,0.964843,0,0.963239,0.281044,0.438455,0.595643,0.401148,0.779013,0.352236,0,0.935314,0.694337,0.621903,0.682694,0.631684,5
0.723171,0.017063,0.057559,0.038592,0.914555,0.779302,0.919254,0.956467,0.979502,0.965834,0.279756,0.964473,0.358689,0.482809,0.613445,0.481188,0.703397,0.428167,0.278702,0.875081,0.682365,0.629275,0.651266,0.64579,5
0.813597,0.023116,0.091088,0.041699,0.934306,0.578525,0.920735,0.979105,0.996134,0.983646,0.454562,0.981551,0.364732,0.331045,0.442509,0.293222,0.841785,0.475429,0.319676,0.956182,0.711126,0.602458,0.71159,0.606534,5
0.587272,0.012848,0.363367,0.025645,0.537051,0.916468,0.922332,0.666222,0.311122,0.513284,0.963444,0.403334,0.446133,0.699594,0.78193,0.683321,0.397227,0.457488,0.569956,0.739525,0.399344,0.955366,0.334095,0.988941,6
0.570989,0.011326,0.357951,0.0238,0.511767,0.921865,0.926376,0.648052,0.330056,0.457201,0.968127,0.390461,0.472473,0.71563,0.803923,0.704185,0.458227,0.46739,0.576483,0.63452,0.391989,0.98078,0.325332,1.02065,6
0.712621,0.01603,0.307118,0.033965,0.372973,0.931392,0.930426,0.503498,0.613119,0,0.964843,0.455686,0.197336,0.581003,0.713698,0.519494,0.616445,0,0.352236,0.937449,0.579547,0.787724,0.580815,0.789365,3
0.690019,0.017382,0.309855,0.031486,0.359901,0.944165,0.932991,0.494307,0.576304,0.097061,0.970938,0.426064,0.303823,0.665889,0.775781,0.613114,0.57798,0.206684,0.42506,0.926478,0.578742,0.793589,0.522697,0.821831,3
0.722809,0.017006,0.304311,0.035241,0.407882,0.935824,0.934591,0.523248,0.646078,0.09572,0.966082,0.498561,0.250254,0.596244,0.730979,0.52614,0.685364,0.187853,0.332023,0.935244,0.613949,0.74566,0.605487,0.748823,3
0.569335,0.010778,0.363636,0.024572,0.523806,0.908136,0.935002,0.643528,0.372545,0.496413,0.959676,0.445442,0.467454,0.693002,0.78722,0.686123,0.488336,0.474226,0.557184,0.606469,0.420211,0.970302,0.370035,0.99461,6
0.688745,0.016629,0.315828,0.028955,0.382995,0.932804,0.935633,0.523865,0.525009,0.114492,0.969133,0.385395,0.294336,0.682201,0.790785,0.614062,0.567698,0.250055,0.431227,0.921692,0.522636,0.835831,0.544035,0.829377,3
0.710601,0.016727,0.309833,0.030541,0.373549,0.935031,0.941699,0.502079,0.567817,0.096416,0.963578,0.401512,0.22362,0.620686,0.757769,0.549731,0.614902,0.118455,0.378873,0.919468,0.569262,0.790049,0.580139,0.783071,3
0.718288,0.018489,0.305374,0.034761,0.423733,0.928304,0.943291,0.546905,0.639906,0.130437,0.954776,0.479889,0.318338,0.650888,0.785361,0.583496,0.697689,0.266171,0.37754,0.925838,0.626334,0.728454,0.635184,0.719705,3
0.629602,0.014288,0.314802,0.030738,0.426723,0.933135,0.943915,0.569941,0.519023,0.183844,0.967645,0.337633,0.410503,0.758283,0.846398,0.725578,0.37359,0.359494,0.555715,0.810042,0.551286,0.797939,0.520155,0.812471,3
0.548415,0.01326,0.365142,0.025942,0.556032,0.936769,0.944251,0.670826,0.319034,0.520884,0.971857,0.425564,0.533231,0.765172,0.840017,0.759673,0.394709,0.536825,0.641348,0.633372,0.373253,1.00403,0.310117,1.04095,6
0.68338,0.017801,0.318152,0.028039,0.38828,0.943489,0.944725,0.530623,0.48234,0.163067,0.971228,0.339206,0.344031,0.708858,0.814497,0.657203,0.568267,0.218309,0.456106,0.928512,0.587334,0.795412,0.521632,0.815069,3
0.615618,0.015679,0.35153,0.030289,0.578362,0.932655,0.948254,0.71134,0.227679,0.512636,0.972261,0.255178,0.45194,0.777082,0.850513,0.752273,0.307726,0.438386,0.597879,0.84135,0.557615,0.789813,0.509347,0.818176,6
0.71033,0.018867,0.311046,0.030866,0.411476,0.944078,0.94882,0.535855,0.562791,0.121746,0.971865,0.420421,0.310642,0.652003,0.771906,0.583442,0.673156,0.275675,0.387068,0.91647,0.55853,0.792407,0.512877,0.812399,3
0.697152,0.022094,0.293183,0.033584,0.422795,0.942118,0.950509,0.455085,0.734259,0.251606,0.971342,0.589926,0.430119,0.753335,0.853024,0.693296,0.663991,0.378074,0.484579,0.921633,0.652792,0.689827,0.627457,0.697196,3
0.651653,0.01845,0.355244,0.030897,0.620455,0.945517,0.950862,0.74753,0.167142,0.579279,0.975281,0.271394,0.434263,0.7674,0.847438,0.739477,0.45024,0.358937,0.553298,0.880221,0.68314,0.711615,0.685106,0.711796,3
0.501698,0.010947,0.371219,0.025956,0.587202,0.946107,0.952829,0.707515,0.311816,0.545973,0.974101,0.436241,0.601482,0.783276,0.855727,0.791581,0.473106,0.60532,0.680362,0.473788,0.420806,0.960799,0.367689,1.00073,6
0.653265,0.015146,0.325336,0.033397,0.497129,0.934154,0.95673,0.659886,0.429481,0.283914,0.968752,0.279503,0.364074,0.724336,0.818287,0.67854,0.456314,0.342184,0.503363,0.874376,0.531095,0.785789,0.484219,0.803196,3
0.522931,0.014363,0.375082,0.030114,0.635009,0.950571,0.957018,0.746145,0.316832,0.604481,0.975895,0.473495,0.594035,0.79584,0.862038,0.798067,0.410543,0.596131,0.686758,0.588457,0.355747,0.997846,0.304582,1.03014,6
0.590406,0.014954,0.362964,0.027098,0.606943,0.935548,0.957518,0.739647,0.180486,0.553416,0.972814,0.314392,0.495136,0.784359,0.853962,0.766331,0.297729,0.481065,0.626222,0.78221,0.474381,0.878386,0.423412,0.906126,6
0.468601,0.014716,0.391648,0.03196,0.711536,0.954793,0.961587,0.801321,0.421073,0.710038,0.978525,0.589638,0.711347,0.850192,0.901666,0.870833,0.44043,0.723941,0.797202,0.454166,0.476941,0.915472,0.403164,0.954224,6
0.68723,0.016101,0.334916,0.029447,0.501531,0.947032,0.961956,0.655634,0.317641,0.339928,0.973884,0.197284,0.287818,0.659969,0.770759,0.590867,0.576344,0.28905,0.415446,0.90298,0.452961,0.867333,0.458575,0.861451,0
0.529086,0.012011,0.375386,0.029467,0.603286,0.950169,0.963624,0.695803,0.398656,0.580235,0.974969,0.519786,0.537255,0.70506,0.784501,0.717967,0.485868,0.556027,0.624979,0.526346,0.434569,0.946315,0.374849,0.981949,6
0.528691,0.012191,0.376694,0.030607,0.616409,0.951548,0.970899,0.708942,0.402767,0.58586,0.975703,0.527749,0.536948,0.714807,0.797773,0.723351,0.50344,0.547553,0.615415,0.52357,0.438681,0.944642,0.386493,0.977346,6
0.528632,0.016062,0.353537,0.02994,0.56341,0.949258,0.971232,0.662968,0.315177,0.503634,0.97436,0.370815,0.590934,0.799364,0.869766,0.797401,0.378274,0.60599,0.695503,0.62726,0.579246,0.806574,0.488202,0.849042,6
0.537445,0.012913,0.380529,0.029327,0.67747,0.954038,0.971863,0.782261,0.302821,0.657127,0.977615,0.491909,0.566681,0.783056,0.851598,0.785253,0.372709,0.566072,0.672343,0.610689,0.418801,0.940461,0.360411,0.971515,6
0.492897,0.012317,0.383799,0.02791,0.647833,0.950548,0.976988,0.755106,0.366345,0.608669,0.976672,0.505079,0.582754,0.748407,0.839164,0.750062,0.577701,0.59651,0.648337,0.488038,0.434528,0.961366,0.374869,0.989002,6
0.575856,0.011772,0.3661,0.027853,0.603466,0.951472,0.981335,0.706793,0.319808,0.535619,0.975526,0.44563,0.457249,0.705853,0.792817,0.695873,0.399168,0.470201,0.573773,0.680926,0.503933,0.871269,0.432823,0.911677,6
0.456145,0.016039,0.383238,0.032096,0.671642,0.955619,0.984262,0.775518,0.376428,0.63016,0.978035,0.535081,0.692348,0.831085,0.894207,0.84457,0.575918,0.693247,0.748314,0.378825,0.537854,0.830618,0.481945,0.863978,6
0.456145,0.016039,0.383238,0.032096,0.671642,0.955619,0.984262,0.775518,0.376428,0.63016,0.978035,0.535081,0.692348,0.831085,0.894207,0.84457,0.575918,0.693247,0.748314,0.378825,0.537854,0.830618,0.481945,0.863978,6
